text,label
"NASA confirms its Perseverance rover collected rock samples from Mars.",Real
"Reuters reports that oil prices fell after new supply data was released.",Real
"The health ministry announced a new vaccination campaign for children.",Real
"A peer-reviewed study found a link between daily exercise and lower heart disease risk.",Real
"The election commission published official turnout numbers after voting ended.",Real
"The central bank raised interest rates by 25 basis points after its policy meeting.",Real
"A court ruled that the company must pay damages in the consumer protection case.",Real
"Scientists discovered a new species of deep-sea jellyfish in the Pacific Ocean.",Real
"The city council approved funding for a new public park downtown.",Real
"The weather department issued a cyclone warning for coastal districts.",Real
"Researchers reported that the new malaria vaccine reduced severe cases in trials.",Real
"The company unveiled a smartphone with improved battery life and a brighter display.",Real
"Police said three people were arrested after the airport security incident.",Real
"The United Nations released a report on rising global food insecurity.",Real
"A university study found that sleep quality affects student concentration.",Real
"The government launched a digital portal for passport appointment booking.",Real
"The stock market closed lower amid concerns about inflation and global demand.",Real
"A hospital opened a new cancer treatment wing after two years of construction.",Real
"The space agency postponed the satellite launch because of bad weather.",Real
"The transport department announced additional trains for the holiday season.",Real
"The supreme court heard arguments in a major privacy rights case.",Real
"A new archaeological survey identified ancient settlement remains near the river.",Real
"The airline cancelled flights after heavy fog reduced visibility.",Real
"The agriculture department warned farmers about a pest outbreak in cotton crops.",Real
"The finance ministry released updated tax collection figures for the quarter.",Real
"A clinical trial found the medicine helped some patients when used under medical supervision.",Real
"The education board published the examination schedule on its official website.",Real
"A factory fire injured workers and local officials opened an investigation.",Real
"The football federation announced the national squad for the tournament.",Real
"A public health advisory recommended boiling water after contamination was detected.",Real
"Drinking bleach cures all viral infections overnight.",Fake
"A viral post falsely claims vaccines contain microchips for tracking people.",Fake
"Aliens have officially landed in New York and demanded to meet the president.",Fake
"Secret documents reveal that the moon is made of cheese.",Fake
"Eating chocolate every day guarantees that people will live to 150.",Fake
"A miracle herb cures cancer and diabetes without any treatment.",Fake
"The government is hiding a free energy machine that powers homes forever.",Fake
"A social media post claims 5G towers cause instant memory loss.",Fake
"A fake notice says schools are closed nationwide for the next month.",Fake
"An old video is falsely shared as footage from yesterday's earthquake.",Fake
"A viral image falsely claims a celebrity was arrested for election fraud.",Fake
"A fabricated quote claims the prime minister said citizens should stop using banks.",Fake
"A misleading claim says drinking hot water kills all coronavirus infections.",Fake
"A baseless rumor says bananas infected with HIV are being sold in markets.",Fake
"A fake screenshot claims the election commission cancelled the results.",Fake
"A satirical article is being shared as real news about a tax on breathing.",Fake
"A viral claim says a vaccine makes people magnetic.",Fake
"A manipulated video falsely shows a politician announcing resignation.",Fake
"A hoax message says the police will fine anyone who leaves home after 8 pm nationwide.",Fake
"An online post claims the sun will not rise for three days next week.",Fake
"A false claim says mobile phones explode if charged overnight during a full moon.",Fake
"A fake health tip claims onions in socks remove toxins from the body.",Fake
"A viral rumor says a bank is closing all accounts unless users share a password.",Fake
"A misleading post claims a photo from 2015 shows a current protest.",Fake
"A fabricated report says scientists proved Earth is flat.",Fake
"A fake advertisement claims one pill can make people lose 20 kilograms in a week.",Fake
"A baseless post says the national currency will be banned tomorrow.",Fake
"An edited image falsely claims a newspaper endorsed a conspiracy theory.",Fake
"A viral message claims all ATMs will stop working unless people forward it.",Fake
"A false post says the health ministry approved cow urine as a cure for cancer.",Fake
"Fact check: claim that a vaccine changes human DNA is false.",Fake
"Fact check: viral post about free government laptops is misleading.",Fake
"Fact check: old flood video is not from the current storm.",Fake
"Fact check: no evidence supports the claim that lemons cure dengue.",Fake
"Fact check: image of a burning train is from another country and year.",Fake
"Fact check: posts claiming election machines were hacked are baseless.",Fake
"Fact check: video does not show the army entering the capital today.",Fake
"Fact check: the celebrity death rumor is fake.",Fake
"Fact check: viral message about new tax rules is fabricated.",Fake
"Fact check: claim that a minister banned social media is untrue.",Fake
"The drug regulator approved a new medicine after reviewing clinical trial data.",Real
"Official data shows inflation slowed for the second straight month.",Real
"The railway ministry announced a revised timetable for long-distance trains.",Real
"A new report from the meteorological agency says rainfall was below average.",Real
"The company recalled a batch of products after quality tests found defects.",Real
"The central government signed an agreement to build renewable energy projects.",Real
"A scientific team published results from a telescope observation of a distant galaxy.",Real
"The police department issued safety guidelines before the festival.",Real
"The high court granted bail to the accused after a hearing.",Real
"The health department confirmed several dengue cases in the district.",Real
"An official bulletin said the dam gates were opened after heavy rainfall.",Real
"A newspaper investigation found irregularities in public procurement records.",Real
"The sports ministry increased funding for athlete training programs.",Real
"The university announced scholarships for low-income students.",Real
"The local administration started evacuation in flood-prone villages.",Real
"A fake viral post claims the central bank is giving free money to everyone who clicks a link.",Fake
"A hoax claims a secret cure for diabetes was suppressed by doctors.",Fake
"A misleading headline claims a routine military exercise is the start of war.",Fake
"A false claim says a photo of movie set smoke shows a real chemical attack.",Fake
"A fabricated message claims the government will shut down the internet nationwide tonight.",Fake
"A viral claim says eating sand improves skin complexion.",Fake
"A fake news post claims a famous actor shape-shifted into a reptile.",Fake
"A false rumor says school exam papers were leaked through an official app.",Fake
"A misleading claim says a single food can permanently cure high blood pressure.",Fake
"A fake post says a bridge collapsed, but the image is from a video game.",Fake
